id,geometry,value
170310321005,"POLYGON ((-87.654602 41.956539,-87.652097 41.956988,-87.652038 41.956896,-87.649783 41.957373,-87.649747 41.956117,-87.6497 41.954561,-87.650531 41.954548,-87.652123 41.954522,-87.654545 41.954488,-87.654602 41.956539))",-1
170310404014,"POLYGON ((-87.686536 41.970463,-87.685384 41.972307,-87.684166 41.972325,-87.682395 41.972348,-87.682865 41.968702,-87.686474 41.968647,-87.686536 41.970463))",-1
170315610002,"POLYGON ((-87.787912 41.792226,-87.78547 41.792273,-87.785404 41.790449,-87.785199 41.784951,-87.78642 41.784932,-87.787642 41.784911,-87.787775 41.788577,-87.787895 41.791751,-87.787912 41.792226))",-1
170310628003,"POLYGON ((-87.663821 41.939765,-87.6614 41.939799,-87.661084 41.9398,-87.661311 41.938473,-87.661229 41.935238,-87.661198 41.934337,-87.663624 41.934297,-87.663655 41.935208,-87.663821 41.939765))",547.0
170318015003,"POLYGON ((-87.843538 42.149757,-87.839148 42.148793,-87.838938 42.148477,-87.830919 42.144975,-87.827138 42.144408,-87.818135 42.145256,-87.814114 42.145325,-87.809229 42.145342,-87.799302 42.145595,-87.794329 42.137927,-87.809601 42.138091,-87.816163 42.138153,-87.816235 42.134304,-87.819193 42.133695,-87.821086 42.13306,-87.82411 42.131049,-87.82569 42.129604,-87.829322 42.130045,-87.830538 42.131013,-87.831411 42.135035,-87.834795 42.138255,-87.83485 42.141232,-87.837374 42.145382,-87.839006 42.147874,-87.843338 42.149295,-87.843538 42.149757))",-1
170315204003,"POLYGON ((-87.535284 41.702734,-87.531658 41.702716,-87.531657 41.700903,-87.529243 41.700889,-87.529245 41.699066,-87.531659 41.699078,-87.535281 41.699103,-87.535283 41.700922,-87.535284 41.702734))",-1
170311102001,"POLYGON ((-87.773191 41.982921,-87.768345 41.98294,-87.768377 41.98112,-87.768459 41.976598,-87.768481 41.975683,-87.773277 41.977898,-87.773191 41.982921))",-1
170318253022,"POLYGON ((-87.783326 41.580576,-87.777293 41.580733,-87.774852 41.582579,-87.775056 41.587974,-87.765441 41.588198,-87.759411 41.588274,-87.75795 41.588294,-87.75941 41.58702,-87.761677 41.585345,-87.765047 41.583596,-87.765616 41.583366,-87.780774 41.576843,-87.781137 41.579,-87.783288 41.579025,-87.783326 41.580576))",-1
170318026051,"POLYGON ((-87.927113 42.098857,-87.927082 42.104327,-87.92709 42.107185,-87.925303 42.105487,-87.916883 42.106441,-87.915737 42.103756,-87.913337 42.102442,-87.907687 42.102417,-87.907687 42.100404,-87.907687 42.100324,-87.907688 42.100088,-87.907689 42.100009,-87.907714 42.097612,-87.907717 42.096576,-87.908042 42.095157,-87.913051 42.09518,-87.922104 42.095206,-87.927168 42.095237,-87.927113 42.098857))",-1
170318097001,"POLYGON ((-87.700821 42.035653,-87.694656 42.035757,-87.69454 42.041204,-87.69364 42.041219,-87.690263 42.041277,-87.690273 42.039616,-87.689886 42.037659,-87.689955 42.034028,-87.699302 42.033873,-87.70086 42.033845,-87.700821 42.035653))",-1
170315604001,"POLYGON ((-87.743222 41.807617,-87.742913 41.807642,-87.738207 41.807684,-87.738013 41.800382,-87.743034 41.800326,-87.743127 41.80397,-87.743222 41.807617))",272.0
170318069002,"POLYGON ((-87.757367 42.055328,-87.746848 42.055285,-87.746907 42.049448,-87.746936 42.047995,-87.748869 42.04801,-87.755152 42.048065,-87.757367 42.055328))",-1
170318201041,"POLYGON ((-87.868466 41.785003,-87.858667 41.785211,-87.8586 41.783614,-87.858572 41.782856,-87.86816 41.778548,-87.868466 41.785003))",-1
170316504001,"POLYGON ((-87.717673 41.77145,-87.712724 41.771522,-87.712652 41.767851,-87.712916 41.767847,-87.717586 41.767807,-87.717673 41.77145))",-1
170311913013,"POLYGON ((-87.785411 41.922631,-87.783205 41.921962,-87.780504 41.921463,-87.780401 41.918292,-87.785277 41.918228,-87.785411 41.922631))",-1
170315702001,"POLYGON ((-87.738535 41.818574,-87.724054 41.823135,-87.72404 41.82254,-87.723587 41.807884,-87.727256 41.807826,-87.728476 41.807809,-87.730946 41.807779,-87.738207 41.807684,-87.738493 41.814993,-87.738533 41.818034,-87.738535 41.818574))",655.0
170316813001,"POLYGON ((-87.644366 41.763383,-87.639314 41.763466,-87.639273 41.759824,-87.635747 41.75988,-87.635702 41.758058,-87.639236 41.757997,-87.6399 41.756146,-87.64174 41.756115,-87.641882 41.761602,-87.644321 41.761564,-87.644366 41.763383))",467.0
170314401021,"POLYGON ((-87.601392 41.745836,-87.598895 41.745407,-87.598938 41.745859,-87.598269 41.745867,-87.5987 41.744047,-87.597589 41.740743,-87.595308 41.736783,-87.600545 41.736708,-87.601188 41.736698,-87.601291 41.740355,-87.601363 41.744019,-87.601392 41.745836))",496.0
170317506002,"POLYGON ((-87.656825 41.687531,-87.649528 41.687626,-87.649446 41.684986,-87.651875 41.684952,-87.656742 41.684886,-87.656825 41.687531))",-1
170318221022,"POLYGON ((-87.741099 41.729164,-87.738661 41.729177,-87.738624 41.727419,-87.731679 41.727588,-87.730635 41.727617,-87.7337 41.725691,-87.733514 41.720219,-87.735943 41.720169,-87.73575 41.714953,-87.740605 41.714858,-87.740733 41.718274,-87.740926 41.723756,-87.74104 41.727363,-87.741099 41.729164))",-1
170318028022,"POLYGON ((-87.946543 42.075361,-87.946521 42.077187,-87.936804 42.077144,-87.932675 42.077136,-87.931392 42.0772,-87.930795 42.076597,-87.927707 42.072619,-87.928425 42.072182,-87.928707 42.073478,-87.945353 42.073559,-87.946567 42.073564,-87.946543 42.075361))",-1
